test,set,lab_id,file_id,substrate,n,bmp_rep,bmp_sd
1,1.3,E11,63,Rabbit feed,3,335.7,12.6
1,1.3,E11,63,Sunflower seeds,3,515,9.4
1,1.3,E11,63,Wheat straw,3,269.3,17.6
1,1.3,E12,38,Cellulose,3,335.5,4.29
1,1.3,E12,38,Rabbit feed,3,317.8,4.1
1,1.3,E12,38,Sunflower seeds,3,473.8,9.47
1,1.3,E12,38,Wheat straw,3,325.5,27.27
1,1.3,E13,13,Cellulose,3,398.4,3.34
1,1.3,E13,13,Rabbit feed,3,388,8.844
1,1.3,E13,13,Sunflower seeds,3,571,16.11
1,1.3,E13,13,Wheat straw,3,291,9.403
1,1.3,E14,33,Cellulose,3,370.1,1.16
1,1.3,E14,33,Rabbit feed,3,277.8,0.69
1,1.3,E14,33,Sunflower seeds,3,450.1,0.73
1,1.3,E14,33,Wheat straw,3,138.6,0.4
1,1.3,E15,118,Cellulose,3,344.7,2.769
1,1.3,E15,118,Cellulose,3,338.8,10.51
1,1.3,E15,118,Rabbit feed,3,296,8.812
1,1.3,E15,118,Sunflower seeds,3,462.9,12.35
1,1.3,E15,118,Wheat straw,3,280.6,24.8
1,1.3,E16,111,Cellulose,3,385.5,0.5021
1,1.3,E16,111,Rabbit feed,3,376.4,0.6387
1,1.3,E16,111,Sunflower seeds,3,550.2,2.021
1,1.3,E16,111,Wheat straw,3,310.3,1.127
1,1.3,E17,83,Cellulose,2,425.6,70.66
1,1.3,E17,83,Rabbit feed,3,468,23.94
1,1.3,E17,83,Sunflower seeds,3,489.5,49.09
1,1.3,E17,83,Wheat straw,3,330.7,6.824
1,1.3,E18,57,Cellulose,3,349,6.45
1,1.3,E18,57,Rabbit feed,3,331.2,2.65
1,1.3,E18,57,Sunflower seeds,3,511.2,7.89
1,1.3,E18,57,Wheat straw,3,270.8,3.31
1,1.3,E19,47,Cellulose,3,364.1,16.3
1,1.3,E19,47,Rabbit feed,3,341.8,21.41
1,1.3,E19,47,Sunflower seeds,3,530.5,27.6
1,1.3,E19,47,Wheat straw,3,295.5,6.86
1,1.3,E20,102,Cellulose,3,350.8,15.76
1,1.3,E20,102,Rabbit feed,3,328.9,9.843
1,1.3,E20,102,Sunflower seeds,3,485.7,4.713
1,1.3,E20,102,Wheat straw,3,274,1.535
1,1.3,E21,45,Cellulose,3,360.9,9.972
1,1.3,E21,45,Rabbit feed,3,333.5,6.926
1,1.3,E21,45,Sunflower seeds,3,499.7,1.715
1,1.3,E21,45,Wheat straw,3,239.5,10.46
1,1.3,E22,56,Cellulose,3,397.7,15.63
1,1.3,E22,56,Rabbit feed,3,352.6,11.75
1,1.3,E22,56,Sunflower seeds,3,408.8,51.49
1,1.3,E22,56,Wheat straw,3,189.6,26.6
1,1.3,E23,122,Cellulose,3,368.8,7.249
1,1.3,E23,122,Rabbit feed,3,337.7,2.715
1,1.3,E23,122,Sunflower seeds,3,495.7,5.666
1,1.3,E23,122,Wheat straw,3,288.2,5.099
1,1.3,E24,41,Cellulose,3,695.2,18.09
1,1.3,E24,41,Rabbit feed,3,678.4,154.9
1,1.3,E24,41,Sunflower seeds,3,855.5,80.24
1,1.3,E24,41,Wheat straw,3,644.8,25.25
1,1.3,E26,49,Cellulose,3,286.9,13.17
1,1.3,E26,49,Rabbit feed,3,279.2,4.47
1,1.3,E26,49,Sunflower seeds,3,352.1,4.73
1,1.3,E26,49,Wheat straw,3,235.3,7.65
1,1.3,E27,82,Cellulose,3,373.5,4.696
1,1.3,E27,82,Rabbit feed,3,338.1,22.29
1,1.3,E27,82,Sunflower seeds,3,426.1,6.102
1,1.3,E27,82,Wheat straw,3,251,6.241
1,1.3,R01,19,Cellulose,6,391.2,7.305
1,1.3,R01,28,Cellulose,3,418.4,8.018
1,1.3,R01,28,Rabbit feed,3,374.5,22.11
1,1.3,R01,28,Sunflower seeds,3,555.1,3.696
1,1.3,R01,19,Wheat straw,6,331,2.709
1,1.3,R01,28,Wheat straw,3,311.3,12.4
1,1.3,R02,117,Cellulose,3,389,5.29
1,1.3,R02,117,Rabbit feed,3,351,9.32
1,1.3,R02,117,Sunflower seeds,3,565,11.78
1,1.3,R02,117,Wheat straw,3,293,7.59
1,1.3,R03,11,Cellulose,4,355,21.9
1,1.3,R03,11,Rabbit feed,4,338.1,17
1,1.3,R03,11,Sunflower seeds,4,534,18.4
1,1.3,R03,11,Wheat straw,4,270.3,17.8
1,1.3,R04,59,Cellulose,3,341.2,1.049
1,1.3,R04,59,Rabbit feed,3,327.5,6.828
1,1.3,R04,59,Sunflower seeds,3,474.4,19.47
1,1.3,R04,59,Wheat straw,3,266.5,4.689
1,1.3,R05,16,Cellulose,3,372.2,37
1,1.3,R05,16,Rabbit feed,3,360.8,32.4
1,1.3,R05,16,Sunflower seeds,3,521.6,31.4
1,1.3,R05,16,Wheat straw,3,355.4,44.41
1,1.3,R06,109,Cellulose,3,385.1,7.885
1,1.3,R06,109,Rabbit feed,3,381.6,5.46
1,1.3,R06,109,Sunflower seeds,3,535.2,10.87
1,1.3,R06,109,Wheat straw,3,326.6,16.15
2,2.1,E02,15,Bird feed,2,358.6,61.09
2,2.1,E02,39,Bird feed,3,358.6,61.09
2,2.1,E02,15,Cellulose,3,357.3,29.44
2,2.1,E02,39,Cellulose,3,357.3,29.44
2,2.1,E02,15,Whey,3,361.6,10.32
2,2.1,E02,39,Whey,3,361.6,10.32
2,2.1,E03,77,Bird feed,3,325,3.43
2,2.1,E03,77,Cellulose,3,266,16.56
2,2.1,E03,77,Whey,3,381.5,5.17
2,2.1,E04,96,Bird feed,3,342,26.4
2,2.1,E04,96,Cellulose,3,372,25
2,2.1,E04,96,Whey,3,337,6.853
2,2.1,E06,114,Bird feed,3,378,3.622
2,2.1,E06,114,Cellulose,3,347.7,4.909
2,2.1,E06,114,Whey,3,430.5,7.7
2,2.1,E07,99,Bird feed,3,388.8,1.07
2,2.1,E07,99,Cellulose,3,372.7,4.42
2,2.1,E07,99,Whey,3,487.4,4.34
2,2.1,E08,54,Bird feed,3,414.2,12.67
2,2.1,E08,54,Cellulose,3,430.5,3.04
2,2.1,E08,54,Whey,3,393.1,2.92
2,2.1,E09,23,Bird feed,3,423,
2,2.1,E09,23,Cellulose,3,405,
2,2.1,E09,23,Whey,3,559,
2,2.1,E10,44,Bird feed,3,335.9,2.2
2,2.1,E10,44,Cellulose,3,311.3,9.5
2,2.1,E10,44,Whey,3,432.3,8.8
2,2.1,E12,106,Bird feed,3,359.8,3.99
2,2.1,E12,106,Cellulose,3,335.8,2.94
2,2.1,E12,106,Whey,3,430.6,3.09
2,2.1,E13,80,Bird feed,3,369,15.12
2,2.1,E13,80,Cellulose,3,406.8,1.81
2,2.1,E13,80,Whey,3,348,4.41
2,2.1,E14,71,Bird feed,3,421.2,0.2
2,2.1,E14,71,Cellulose,3,357.2,0.86
2,2.1,E14,71,Whey,3,394.9,0.76
2,2.1,E17,32,Bird feed,3,334.9,12.55
2,2.1,E17,32,Cellulose,3,363.5,15.87
2,2.1,E17,32,Whey,3,354.7,13.99
2,2.1,E18,26,Bird feed,3,350,8.41
2,2.1,E18,123,Bird feed,3,357,5.78
2,2.1,E18,26,Cellulose,3,378,8.15
2,2.1,E18,123,Cellulose,3,413,7.866
2,2.1,E18,26,Whey,3,430,9.26
2,2.1,E18,123,Whey,3,404,9.26
2,2.1,E20,108,Bird feed,3,378.9,4.303
2,2.1,E20,108,Cellulose,3,333.9,3.736
2,2.1,E20,108,Whey,3,386.8,12.48
2,2.1,E22,113,Bird feed,3,442.5,24.6
2,2.1,E22,113,Cellulose,3,396.1,10.96
2,2.1,E22,113,Whey,3,458.2,15.2
2,2.1,E24,107,Bird feed,3,352.9,74.57
2,2.1,E24,107,Cellulose,1,133.7,189.1
2,2.1,E24,107,Whey,3,428.5,21.12
2,2.1,E27,95,Bird feed,3,385.2,1.517
2,2.1,E27,95,Cellulose,3,378.3,4.386
2,2.1,E27,127,Cellulose,3,373.5,4.696
2,2.1,E27,127,Whey,3,394,2.27
2,2.1,R01,27,Bird feed,6,412.6,7.3
2,2.1,R01,27,Cellulose,6,391.2,7.305
2,2.1,R01,27,Whey,6,480.7,9.037
2,2.1,R02,66,Bird feed,3,426.8,0.8391
2,2.1,R02,66,Cellulose,3,431.2,6.38
2,2.1,R02,66,Whey,3,434.2,8.034
2,2.1,R03,37,Bird feed,4,387.2,6.95
2,2.1,R03,37,Cellulose,4,362.8,8.75
2,2.1,R03,37,Whey,4,488.3,12.47
2,2.1,R04,52,Bird feed,3,351.3,7.62
2,2.1,R04,52,Cellulose,3,345.4,5.38
2,2.1,R04,52,Whey,3,460.2,15.58
2,2.1,R05,124,Bird feed,3,385.9,13.7
2,2.1,R05,124,Cellulose,3,387.7,3.9
2,2.1,R05,124,Whey,3,459.3,6.6
2,2.1,R06,72,Bird feed,3,424.8,10.7
2,2.1,R06,72,Cellulose,3,385.1,7.885
2,2.1,R06,72,Whey,3,498.8,17.4
