test,set,lab_id,file_id,substrate,n,bmp_rep,bmp_sd
1,1.3,E01,64,Cellulose,3,744,97.28
1,1.3,E01,64,Rabbit feed,3,580,29.87
1,1.3,E01,64,Sunflower seeds,3,814,17.64
1,1.3,E02,61,Cellulose,3,517.2,39.94
1,1.3,E02,61,Rabbit feed,3,318.6,9.496
1,1.3,E02,61,Sunflower seeds,3,546.7,7.083
1,1.3,E02,61,Wheat straw,3,413,26.14
1,1.3,E03,98,Cellulose,3,312.5,7.845
1,1.3,E03,98,Rabbit feed,3,267.1,23.13
1,1.3,E03,98,Sunflower seeds,3,446.1,3.935
1,1.3,E03,98,Wheat straw,3,201.3,4.149
1,1.3,E04,62,Cellulose,3,345.6,5.34
1,1.3,E04,62,Rabbit feed,3,439,5.26
1,1.3,E04,62,Sunflower seeds,3,432.1,5.31
1,1.3,E04,62,Wheat straw,3,214.5,1.59
1,1.3,E06,31,Cellulose,3,362.8,4.371
1,1.3,E06,31,Rabbit feed,3,299,5.192
1,1.3,E06,31,Sunflower seeds,3,493,3.768
1,1.3,E06,31,Wheat straw,3,260.8,3.138
1,1.3,E07,34,Cellulose,3,370.8,3.71
1,1.3,E07,34,Rabbit feed,3,346.5,6.29
1,1.3,E07,34,Sunflower seeds,3,450.1,3.52
1,1.3,E07,34,Wheat straw,3,299.2,2.58
1,1.3,E08,65,Cellulose,3,403.6,10.02
1,1.3,E08,65,Rabbit feed,3,330.7,3.19
1,1.3,E08,65,Sunflower seeds,3,501.6,16.43
1,1.3,E08,65,Wheat straw,3,283.5,4.43
1,1.3,E09,60,Cellulose,3,361,0.379
1,1.3,E09,60,Rabbit feed,3,365,0.4996
1,1.3,E09,60,Sunflower seeds,3,498,0.3712
1,1.3,E09,60,Wheat straw,3,295,0.04752
1,1.3,E10,104,Cellulose,3,335.1,2.9
1,1.3,E10,104,Rabbit feed,3,315.8,5.5
1,1.3,E10,104,Sunflower seeds,3,477,7.1
1,1.3,E10,104,Wheat straw,3,267.6,4
1,1.3,E11,63,Cellulose,3,361.1,3.4
