set,test,lab_id,file_id,variable,value
1.3,1,E01,64,c.ts,1.825
1.3,1,E01,64,c.vs,60
1.3,1,E01,64,c.vs2,1.095
1.3,1,E01,64,pH,7.5
1.3,1,E02,61,c.ts,3.997
1.3,1,E02,61,c.vs,55.37
1.3,1,E02,61,c.vs2,2.213
1.3,1,E02,61,pH,8.083
1.3,1,E02,61,alk,12.25
1.3,1,E02,61,c.VFA,0.5847
1.3,1,E03,98,c.ts,2.576
1.3,1,E03,98,c.vs,65.51
1.3,1,E03,98,c.vs2,1.688
1.3,1,E03,98,pH,7.72
1.3,1,E04,62,c.ts,12.3
1.3,1,E04,62,c.vs,62.6
1.3,1,E04,62,c.vs2,7.7
1.3,1,E04,62,pH,7.737
1.3,1,E06,31,c.ts,3.487
1.3,1,E06,31,c.vs,60.96
1.3,1,E06,31,c.vs2,2.125
1.3,1,E06,31,pH,7.843
1.3,1,E07,34,c.ts,2.123
1.3,1,E07,34,c.vs,57.1
1.3,1,E07,34,c.vs2,1.212
1.3,1,E07,34,pH,7.9
1.3,1,E07,34,alk,10.23
1.3,1,E07,34,c.TAN,2.047
1.3,1,E07,34,c.VFA,0
1.3,1,E08,65,c.ts,6.887
1.3,1,E08,65,c.vs,67.66
1.3,1,E08,65,c.vs2,4.659
1.3,1,E08,65,pH,7.75
1.3,1,E08,65,c.VFA,0.6226
1.3,1,E09,60,c.ts,2.387
1.3,1,E09,60,c.vs,71.17
1.3,1,E09,60,c.vs2,1.696
1.3,1,E09,60,pH,7.68
1.3,1,E09,60,alk,2.56
1.3,1,E09,60,c.TAN,0.58
1.3,1,E09,60,c.VFA,38
1.3,1,E10,104,c.ts,5.92
1.3,1,E10,104,c.vs,58.45
1.3,1,E10,104,c.vs2,3.46
1.3,1,E10,104,pH,7.97
1.3,1,E10,104,alk,13.46
1.3,1,E10,104,c.TAN,2.21
1.3,1,E10,104,c.VFA,2.13
1.3,1,E11,63,c.ts,2.14
1.3,1,E11,63,c.vs,84.97
1.3,1,E11,63,c.vs2,1.819
1.3,1,E11,63,pH,7.053
1.3,1,E11,63,alk,2.433
1.3,1,E11,63,c.TAN,0.2767
1.3,1,E11,63,c.VFA,0.2933
1.3,1,E12,38,c.ts,3.033
1.3,1,E12,38,c.vs,62.03
1.3,1,E12,38,c.vs2,1.882
1.3,1,E12,38,pH,7.473
1.3,1,E13,13,c.ts,2.653
1.3,1,E13,13,c.vs,64.51
1.3,1,E13,13,c.vs2,1.712
1.3,1,E13,13,pH,7.46
1.3,1,E14,33,c.ts,2.07
1.3,1,E14,33,c.vs,77.69
1.3,1,E14,33,c.vs2,1.608
1.3,1,E14,33,pH,7.7
1.3,1,E15,118,c.ts,2.513
1.3,1,E15,118,c.vs,53.5
1.3,1,E15,118,c.vs2,1.345
1.3,1,E15,118,pH,7.663
1.3,1,E15,118,alk,5.86
1.3,1,E15,118,c.TAN,1.166
1.3,1,E15,118,c.VFA,9.75
1.3,1,E16,111,c.ts,1.511
1.3,1,E16,111,c.vs,71.17
1.3,1,E16,111,c.vs2,1.075
1.3,1,E16,111,pH,7.47
1.3,1,E16,111,alk,3.223
1.3,1,E16,111,c.TAN,0.799
1.3,1,E16,111,c.VFA,0.2082
