set,test,lab_id,file_id,variable,value
1.3,1,E17,83,c.ts,2.755
1.3,1,E17,83,c.vs,70.4
1.3,1,E17,83,c.vs2,1.94
1.3,1,E17,83,pH,7.82
1.3,1,E18,57,c.ts,3.033
1.3,1,E18,57,c.vs,70.66
1.3,1,E18,57,c.vs2,2.143
1.3,1,E18,57,pH,7.82
1.3,1,E19,47,c.ts,2.237
1.3,1,E19,47,c.vs,1.507
1.3,1,E19,47,c.vs2,0.03372
1.3,1,E19,47,pH,7.767
1.3,1,E19,47,c.TAN,1.828
1.3,1,E19,47,c.VFA,1.238
1.3,1,E20,102,c.ts,8.372
1.3,1,E20,102,c.vs,53.46
1.3,1,E20,102,c.vs2,4.523
1.3,1,E20,102,pH,7.963
1.3,1,E21,45,c.ts,5.737
1.3,1,E21,45,c.vs,68.8
1.3,1,E21,45,c.vs2,3.947
1.3,1,E21,45,pH,7.86
1.3,1,E22,56,c.ts,13.19
1.3,1,E22,56,c.vs,69.88
1.3,1,E22,56,c.vs2,9.217
1.3,1,E22,56,pH,7.96
1.3,1,E23,122,c.ts,6.198
1.3,1,E23,122,c.vs,68.83
1.3,1,E23,122,c.vs2,4.266
1.3,1,E23,122,pH,8
1.3,1,E23,122,alk,16.87
1.3,1,E23,122,c.VFA,0.203
1.3,1,E24,41,c.ts,2.5
1.3,1,E24,41,c.vs,56.33
1.3,1,E24,41,c.vs2,1.408
1.3,1,E24,41,pH,7.76
1.3,1,E26,49,c.ts,2.81
1.3,1,E26,49,c.vs,67.39
1.3,1,E26,49,c.vs2,1.893
1.3,1,E26,49,pH,8.027
1.3,1,E27,82,c.ts,3.541
1.3,1,E27,82,c.vs,64.82
1.3,1,E27,82,c.vs2,2.294
1.3,1,E27,82,pH,7.82
1.3,1,R01,19,c.ts,2.932
1.3,1,R01,19,c.vs,63.65
1.3,1,R01,19,c.vs2,1.866
1.3,1,R01,28,c.ts,2.742
1.3,1,R01,28,c.vs,66.82
1.3,1,R01,28,c.vs2,1.832
1.3,1,R01,28,pH,7.68
1.3,1,R02,117,c.ts,3.206
1.3,1,R02,117,c.vs,74.8
1.3,1,R02,117,c.vs2,2.398
1.3,1,R02,117,pH,8.12
1.3,1,R02,117,c.TAN,3.67
1.3,1,R02,117,c.VFA,0.09
1.3,1,R03,11,c.ts,2.809
1.3,1,R03,11,c.vs,69.94
1.3,1,R03,11,c.vs2,1.965
1.3,1,R03,11,pH,7.252
1.3,1,R03,11,alk,5.902
1.3,1,R03,11,c.TAN,0.8626
1.3,1,R03,11,c.VFA,0.02234
1.3,1,R04,59,c.ts,3.802
1.3,1,R04,59,c.vs,59.05
1.3,1,R04,59,c.vs2,2.245
1.3,1,R04,59,pH,8.137
1.3,1,R05,16,c.ts,2.152
1.3,1,R05,16,c.vs,65.62
1.3,1,R05,16,c.vs2,1.412
1.3,1,R05,16,pH,7.273
1.3,1,R06,109,c.ts,1.01
1.3,1,R06,109,c.vs,46.67
1.3,1,R06,109,c.vs2,0.4714
1.3,1,R06,109,pH,7.633
2.1,2,E02,15,c.ts,4.903
2.1,2,E02,15,c.vs,59.05
2.1,2,E02,15,c.vs2,2.895
2.1,2,E02,15,pH,8.03
2.1,2,E02,39,c.ts,4.903
2.1,2,E02,39,c.vs,59.05
2.1,2,E02,39,c.vs2,2.895
2.1,2,E02,39,pH,8.03
2.1,2,E03,77,c.ts,6.313
2.1,2,E03,77,c.vs,4.893
2.1,2,E03,77,c.vs2,0.3095
2.1,2,E03,77,pH,6.967
2.1,2,E04,96,c.ts,4.503
2.1,2,E04,96,c.vs,68.91
2.1,2,E04,96,c.vs2,3.103
2.1,2,E04,96,pH,7.66
2.1,2,E06,114,c.ts,3.393
2.1,2,E06,114,c.vs,61.01
2.1,2,E06,114,c.vs2,2.07
2.1,2,E06,114,pH,7.877
2.1,2,E07,99,c.ts,2.01
2.1,2,E07,99,c.vs,60.35
2.1,2,E07,99,c.vs2,1.213
2.1,2,E07,99,pH,8
2.1,2,E07,99,alk,11.37
2.1,2,E07,99,c.TAN,2.163
2.1,2,E07,99,c.VFA,0
2.1,2,E08,54,c.ts,7.243
2.1,2,E08,54,c.vs,81.1
2.1,2,E08,54,c.vs2,5.875
2.1,2,E08,54,pH,7.85
2.1,2,E08,54,c.VFA,0.2698
2.1,2,E09,23,c.ts,2.425
2.1,2,E09,23,c.vs,62.24
2.1,2,E09,23,c.vs2,1.509
2.1,2,E09,23,pH,7.64
2.1,2,E10,44,c.ts,6.803
2.1,2,E10,44,c.vs,59.55
2.1,2,E10,44,c.vs2,4.052
2.1,2,E10,44,pH,7.67
2.1,2,E10,44,alk,13.89
2.1,2,E10,44,c.TAN,2.22
2.1,2,E10,44,c.VFA,2.935
2.1,2,E12,106,c.ts,3.327
2.1,2,E12,106,c.vs,61.27
2.1,2,E12,106,c.vs2,2.039
2.1,2,E12,106,pH,7.473
2.1,2,E13,80,c.ts,3.18
2.1,2,E13,80,c.vs,63.19
2.1,2,E13,80,c.vs2,2.009
2.1,2,E13,80,pH,7.43
2.1,2,E14,71,c.ts,2.94
2.1,2,E14,71,c.vs,52.05
2.1,2,E14,71,c.vs2,1.53
2.1,2,E14,71,pH,7.74
2.1,2,E17,32,c.ts,3.046
2.1,2,E17,32,c.vs,62.13
2.1,2,E17,32,c.vs2,1.894
2.1,2,E17,32,pH,7.915
2.1,2,E18,26,c.ts,1.877
2.1,2,E18,26,c.vs,62.34
2.1,2,E18,26,c.vs2,1.17
2.1,2,E18,26,pH,7.897
2.1,2,E18,123,c.ts,3.447
2.1,2,E18,123,c.vs,70.29
2.1,2,E18,123,c.vs2,2.423
2.1,2,E18,123,pH,7.987
2.1,2,E20,108,c.ts,9.107
2.1,2,E20,108,c.vs,62.99
2.1,2,E20,108,c.vs2,5.736
2.1,2,E20,108,pH,7.877
2.1,2,E20,108,c.TAN,0.5736
2.1,2,E20,108,c.VFA,5.736
2.1,2,E22,113,c.ts,8.8
2.1,2,E22,113,c.vs,53.78
2.1,2,E22,113,c.vs2,4.733
2.1,2,E22,113,pH,7.96
2.1,2,E24,107,c.ts,4.933
2.1,2,E24,107,c.vs,55.03
2.1,2,E24,107,c.vs2,2.722
2.1,2,E24,107,pH,7.48
2.1,2,E27,95,c.ts,3.458
2.1,2,E27,95,c.vs,65.18
2.1,2,E27,95,c.vs2,2.253
2.1,2,E27,95,pH,7.9
2.1,2,E27,127,c.ts,3.624
2.1,2,E27,127,c.vs,64.46
2.1,2,E27,127,c.vs2,2.336
2.1,2,E27,127,pH,7.74
2.1,2,R01,27,c.ts,2.932
2.1,2,R01,27,c.vs,63.65
2.1,2,R01,27,c.vs2,1.866
2.1,2,R02,66,c.ts,3.863
2.1,2,R02,66,c.vs,61.75
2.1,2,R02,66,c.vs2,2.386
2.1,2,R02,66,pH,7.797
2.1,2,R02,66,c.TAN,2.618
2.1,2,R03,37,c.ts,2.751
2.1,2,R03,37,c.vs,66.96
2.1,2,R03,37,c.vs2,1.842
2.1,2,R03,37,pH,7.258
2.1,2,R03,37,alk,5.933
2.1,2,R03,37,c.TAN,1.261
2.1,2,R03,37,c.VFA,0.03033
2.1,2,R04,52,c.ts,3.889
2.1,2,R04,52,c.vs,55.9
2.1,2,R04,52,c.vs2,2.174
2.1,2,R04,52,pH,8.033
2.1,2,R05,124,c.ts,2.884
2.1,2,R05,124,c.vs,63.08
2.1,2,R05,124,c.vs2,1.817
2.1,2,R06,72,c.ts,1.01
2.1,2,R06,72,c.vs,46.67
2.1,2,R06,72,c.vs2,0.4714
2.1,2,R06,72,pH,7.633
