test,set,lab_id,file_id,bottle_id,time_d,smp
1,1.3,E01,64,1662,0,0
1,1.3,E01,64,1662,1,9.061
1,1.3,E01,64,1662,2,36.9
1,1.3,E01,64,1662,3,70.9
1,1.3,E01,64,1662,4,82.61
1,1.3,E01,64,1662,5,94.53
1,1.3,E01,64,1662,6,117.7
1,1.3,E01,64,1662,7,150.8
1,1.3,E01,64,1662,8,186
1,1.3,E01,64,1662,9,231.8
1,1.3,E01,64,1662,10,310.9
1,1.3,E01,64,1662,11,409.2
1,1.3,E01,64,1662,12,499.2
1,1.3,E01,64,1662,13,575.5
1,1.3,E01,64,1662,14,645.3
1,1.3,E01,64,1662,15,696.3
1,1.3,E01,64,1662,16,719.8
1,1.3,E01,64,1662,17,736.8
1,1.3,E01,64,1662,18,749.3
1,1.3,E01,64,1662,19,754.2
1,1.3,E01,64,1662,20,759
1,1.3,E01,64,1662,21,759
1,1.3,E01,64,1663,0,0
1,1.3,E01,64,1663,1,11.97
1,1.3,E01,64,1663,2,46.38
1,1.3,E01,64,1663,3,72.39
1,1.3,E01,64,1663,4,86.07
1,1.3,E01,64,1663,5,106.7
1,1.3,E01,64,1663,6,121.3
1,1.3,E01,64,1663,7,153.9
1,1.3,E01,64,1663,8,191.5
1,1.3,E01,64,1663,9,236.5
1,1.3,E01,64,1663,10,308.1
1,1.3,E01,64,1663,11,405.5
1,1.3,E01,64,1663,12,497
1,1.3,E01,64,1663,13,572.8
1,1.3,E01,64,1663,14,641
1,1.3,E01,64,1663,15,699.7
1,1.3,E01,64,1663,16,742.6
1,1.3,E01,64,1663,17,768.9
1,1.3,E01,64,1663,18,782.2
1,1.3,E01,64,1663,19,792.4
1,1.3,E01,64,1663,20,799
1,1.3,E01,64,1663,21,799
1,1.3,E01,64,1664,0,0
1,1.3,E01,64,1664,1,11.33
1,1.3,E01,64,1664,2,44.01
1,1.3,E01,64,1664,3,66.72
1,1.3,E01,64,1664,4,83.67
1,1.3,E01,64,1664,5,100.2
1,1.3,E01,64,1664,6,117.2
1,1.3,E01,64,1664,7,151
1,1.3,E01,64,1664,8,188.4
1,1.3,E01,64,1664,9,233.8
1,1.3,E01,64,1664,10,304.3
1,1.3,E01,64,1664,11,398.4
1,1.3,E01,64,1664,12,486
1,1.3,E01,64,1664,13,550.4
