test,set,lab_id,file_id,substrate,bottle_id,fv_inoc,bmp_calc
1,1.3,E01,64,Cellulose,1667,0.06551,643.6
1,1.3,E01,64,Cellulose,1668,0.05124,827.2
1,1.3,E01,64,Cellulose,1669,0.06153,688.2
1,1.3,E01,64,Rabbit feed,1670,0.08012,524.6
1,1.3,E01,64,Rabbit feed,1671,0.07273,573.3
1,1.3,E01,64,Rabbit feed,1672,0.07376,564.7
1,1.3,E01,64,Sunflower seeds,1662,0.0551,778.4
1,1.3,E01,64,Sunflower seeds,1663,0.05295,819.4
1,1.3,E01,64,Sunflower seeds,1664,0.05319,793.3
1,1.3,E02,61,Cellulose,896,0.04416,488.8
1,1.3,E02,61,Cellulose,897,0.04746,453.3
1,1.3,E02,61,Cellulose,898,0.0009566,547.4
1,1.3,E02,61,Rabbit feed,890,0.0593,353.9
1,1.3,E02,61,Rabbit feed,891,0.05554,379.1
1,1.3,E02,61,Rabbit feed,892,0.05647,372.5
1,1.3,E02,61,Sunflower seeds,899,0.03343,585.9
1,1.3,E02,61,Sunflower seeds,900,0.03217,609.7
1,1.3,E02,61,Sunflower seeds,901,0.0323,607.2
1,1.3,E02,61,Wheat straw,902,0.04547,466
1,1.3,E02,61,Wheat straw,903,0.04923,428.7
1,1.3,E02,61,Wheat straw,904,0.04961,421.3
1,1.3,E03,98,Cellulose,1366,0.08132,320.4
1,1.3,E03,98,Cellulose,1367,0.08261,315
1,1.3,E03,98,Cellulose,1368,0.08527,304.3
1,1.3,E03,98,Rabbit feed,1369,0.1138,248.8
1,1.3,E03,98,Rabbit feed,1370,0.1104,257.3
1,1.3,E03,98,Rabbit feed,1371,0.09869,291.7
1,1.3,E03,98,Sunflower seeds,1361,0.06694,445.1
1,1.3,E03,98,Sunflower seeds,1362,0.06684,445.8
1,1.3,E03,98,Sunflower seeds,1363,0.06593,452.4
1,1.3,E03,98,Wheat straw,1358,0.1499,203.1
1,1.3,E03,98,Wheat straw,1359,0.1463,209
1,1.3,E03,98,Wheat straw,1360,0.153,198.3
1,1.3,E04,62,Cellulose,569,0.247,346
1,1.3,E04,62,Cellulose,576,0.25,340.7
1,1.3,E04,62,Cellulose,577,0.2464,347.4
1,1.3,E04,62,Rabbit feed,570,0.2008,454
1,1.3,E04,62,Rabbit feed,578,0.2036,445.5
1,1.3,E04,62,Rabbit feed,579,0.2074,435.3
1,1.3,E04,62,Sunflower seeds,573,0.1939,456.1
1,1.3,E04,62,Sunflower seeds,581,0.2025,442
1,1.3,E04,62,Sunflower seeds,582,0.1982,459.6
1,1.3,E04,62,Wheat straw,571,0.3392,221.8
1,1.3,E04,62,Wheat straw,572,0.3424,219
1,1.3,E04,62,Wheat straw,580,0.3612,201.5
1,1.3,E06,31,Cellulose,967,0.01435,359.7
1,1.3,E06,31,Cellulose,968,0.01495,360.9
1,1.3,E06,31,Cellulose,969,0.01319,367.7
1,1.3,E06,31,Rabbit feed,970,0.01376,327.5
1,1.3,E06,31,Rabbit feed,971,0.014,326.8
1,1.3,E06,31,Rabbit feed,972,0.01439,314.9
1,1.3,E06,31,Sunflower seeds,962,0.008996,507
1,1.3,E06,31,Sunflower seeds,963,0.008823,496.1
1,1.3,E06,31,Sunflower seeds,964,0.008188,501.7
1,1.3,E06,31,Wheat straw,959,0.01687,264
1,1.3,E06,31,Wheat straw,960,0.01661,263.8
1,1.3,E06,31,Wheat straw,961,0.01793,254.6
1,1.3,E07,34,Cellulose,148,0.04738,321.8
1,1.3,E07,34,Cellulose,149,0.0459,315.4
1,1.3,E07,34,Cellulose,150,0.04707,319.6
1,1.3,E07,34,Rabbit feed,145,0.05924,301.7
1,1.3,E07,34,Rabbit feed,146,0.06066,296.6
