test,set,lab_id,file_id,substrate,bottle_id,fv_inoc,bmp_calc
1,1.3,E07,34,Rabbit feed,147,0.05764,291.5
1,1.3,E07,34,Sunflower seeds,154,0.04745,386.7
1,1.3,E07,34,Sunflower seeds,155,0.04679,382.8
1,1.3,E07,34,Sunflower seeds,156,0.04302,388.7
1,1.3,E07,34,Wheat straw,157,0.06311,258.9
1,1.3,E07,34,Wheat straw,158,0.06736,255
1,1.3,E07,34,Wheat straw,159,0.06774,255.2
1,1.3,E08,65,Cellulose,1093,0.2726,417
1,1.3,E08,65,Cellulose,1094,0.2696,422.8
1,1.3,E08,65,Cellulose,1095,0.2792,402.8
1,1.3,E08,65,Rabbit feed,1096,0.313,333.2
1,1.3,E08,65,Rabbit feed,1097,0.3165,327.2
1,1.3,E08,65,Rabbit feed,1098,0.3139,331.7
1,1.3,E08,65,Sunflower seeds,1085,0.2261,520.7
1,1.3,E08,65,Sunflower seeds,1086,0.2363,491.8
1,1.3,E08,65,Sunflower seeds,1087,0.2357,492.8
1,1.3,E08,65,Wheat straw,1088,0.3481,284.7
1,1.3,E08,65,Wheat straw,1089,0.353,278.7
1,1.3,E08,65,Wheat straw,1090,0.3463,287.3
1,1.3,E09,60,Cellulose,40,0.08159,343.3
1,1.3,E09,60,Cellulose,41,0.08533,328.9
1,1.3,E09,60,Cellulose,42,0.07039,408.6
1,1.3,E09,60,Rabbit feed,32,0.08453,337.3
1,1.3,E09,60,Rabbit feed,33,0.1143,241.3
1,1.3,E09,60,Rabbit feed,34,0.07912,356
1,1.3,E09,60,Sunflower seeds,43,0.06543,489.8
1,1.3,E09,60,Sunflower seeds,44,0.06925,463.1
1,1.3,E09,60,Sunflower seeds,45,0.06754,475.6
1,1.3,E09,60,Wheat straw,35,0.1173,289
1,1.3,E09,60,Wheat straw,36,0.1164,295.4
1,1.3,E09,60,Wheat straw,37,0.1337,254.1
1,1.3,E10,104,Cellulose,1204,0.3134,334.6
1,1.3,E10,104,Cellulose,1205,0.3133,332.8
1,1.3,E10,104,Cellulose,1206,0.31,337.9
1,1.3,E10,104,Rabbit feed,1198,0.3251,313.8
1,1.3,E10,104,Rabbit feed,1199,0.314,322.8
1,1.3,E10,104,Rabbit feed,1200,0.3252,312.4
1,1.3,E10,104,Sunflower seeds,1207,0.2363,480.5
1,1.3,E10,104,Sunflower seeds,1208,0.2366,482.1
1,1.3,E10,104,Sunflower seeds,1209,0.2315,493.7
1,1.3,E10,104,Wheat straw,1210,0.3708,256.7
1,1.3,E10,104,Wheat straw,1211,0.3598,268
1,1.3,E10,104,Wheat straw,1212,0.3625,265.3
1,1.3,E11,63,Cellulose,1264,0.2396,362
1,1.3,E11,63,Cellulose,1265,0.2386,359.7
1,1.3,E11,63,Cellulose,1266,0.2386,361.2
1,1.3,E11,63,Rabbit feed,1267,0.2566,328.9
1,1.3,E11,63,Rabbit feed,1268,0.2546,328.2
1,1.3,E11,63,Rabbit feed,1269,0.244,349.4
1,1.3,E11,63,Sunflower seeds,1259,0.1792,525.4
1,1.3,E11,63,Sunflower seeds,1260,0.1835,501.4
1,1.3,E11,63,Sunflower seeds,1261,0.179,518.6
1,1.3,E11,63,Wheat straw,1256,0.2776,287.8
1,1.3,E11,63,Wheat straw,1257,0.2982,261.9
1,1.3,E11,63,Wheat straw,1258,0.3016,257.8
1,1.3,E12,38,Cellulose,1301,0.1259,338.6
1,1.3,E12,38,Cellulose,1302,0.1259,338.6
1,1.3,E12,38,Cellulose,1303,0.1288,330.1
1,1.3,E12,38,Rabbit feed,1312,0.1324,319.6
1,1.3,E12,38,Rabbit feed,1313,0.1352,312
1,1.3,E12,38,Rabbit feed,1314,0.1321,320.5
1,1.3,E12,38,Sunflower seeds,1309,0.09126,486.4
1,1.3,E12,38,Sunflower seeds,1310,0.09523,464
1,1.3,E12,38,Sunflower seeds,1311,0.09393,471.2
1,1.3,E12,38,Wheat straw,1300,0.1176,370.2
1,1.3,E12,38,Wheat straw,1307,0.1401,302.9
1,1.3,E12,38,Wheat straw,1308,0.1364,312.1
1,1.3,E13,13,Cellulose,1144,0.1166,402.3
1,1.3,E13,13,Cellulose,1145,0.1212,386.3
1,1.3,E13,13,Cellulose,1146,0.12,391.2
1,1.3,E13,13,Rabbit feed,1147,0.1241,394.1
1,1.3,E13,13,Rabbit feed,1148,0.129,377.3
1,1.3,E13,13,Rabbit feed,1149,0.123,397.1
1,1.3,E13,13,Sunflower seeds,1153,0.09621,519.8
1,1.3,E13,13,Sunflower seeds,1154,0.0895,556.6
1,1.3,E13,13,Sunflower seeds,1155,0.08895,539
1,1.3,E13,13,Wheat straw,1150,0.1139,410.5
1,1.3,E13,13,Wheat straw,1151,0.1721,269.3
1,1.3,E13,13,Wheat straw,1152,0.1741,264
1,1.3,E14,33,Cellulose,673,0.198,353.5
1,1.3,E14,33,Cellulose,674,0.1931,365.6
1,1.3,E14,33,Cellulose,675,0.1869,381.2
1,1.3,E14,33,Rabbit feed,676,0.2822,221.8
1,1.3,E14,33,Rabbit feed,677,0.2463,268
1,1.3,E14,33,Rabbit feed,678,0.2433,270.8
1,1.3,E14,33,Sunflower seeds,682,0.1772,400
1,1.3,E14,33,Sunflower seeds,683,0.1669,432.6
1,1.3,E14,33,Sunflower seeds,684,0.1653,436.6
1,1.3,E14,33,Wheat straw,679,0.3865,137.6
1,1.3,E14,33,Wheat straw,680,0.3973,131.7
1,1.3,E14,33,Wheat straw,681,0.3872,137
1,1.3,E15,118,Cellulose,854,0.1986,348.1
1,1.3,E15,118,Cellulose,855,0.2013,344.3
1,1.3,E15,118,Cellulose,856,0.2062,340.6
1,1.3,E15,118,Rabbit feed,857,0.362,304.2
1,1.3,E15,118,Rabbit feed,858,0.3691,296.9
1,1.3,E15,118,Rabbit feed,859,0.3748,286.7
1,1.3,E15,118,Sunflower seeds,849,0.2696,467.4
1,1.3,E15,118,Sunflower seeds,850,0.26,491.9
1,1.3,E15,118,Sunflower seeds,851,0.2707,470.4
1,1.3,E15,118,Wheat straw,846,0.3689,296.9
1,1.3,E15,118,Wheat straw,847,0.3689,292.8
1,1.3,E15,118,Wheat straw,848,0.4075,252
1,1.3,E16,111,Cellulose,1628,0.2424,381.7
1,1.3,E16,111,Cellulose,1629,0.2412,384.3
1,1.3,E16,111,Cellulose,1630,0.2407,385.3
1,1.3,E16,111,Rabbit feed,1622,0.2718,375.4
1,1.3,E16,111,Rabbit feed,1623,0.2714,376.1
1,1.3,E16,111,Rabbit feed,1624,0.2737,371.7
1,1.3,E16,111,Sunflower seeds,1631,0.2137,547.5
1,1.3,E16,111,Sunflower seeds,1632,0.2113,555.2
1,1.3,E16,111,Sunflower seeds,1633,0.2159,540.3
1,1.3,E16,111,Wheat straw,1634,0.3494,309.1
1,1.3,E16,111,Wheat straw,1635,0.3464,313.2
1,1.3,E16,111,Wheat straw,1636,0.3526,304.8
1,1.3,E17,83,Cellulose,518,0.4218,421.6
1,1.3,E17,83,Cellulose,523,0.4559,367
1,1.3,E17,83,Rabbit feed,519,0.4313,461.1
1,1.3,E17,83,Rabbit feed,520,0.4274,468.5
1,1.3,E17,83,Rabbit feed,521,0.4211,480.6
1,1.3,E17,83,Sunflower seeds,514,0.3604,566.7
1,1.3,E17,83,Sunflower seeds,516,0.2091,1208
1,1.3,E17,83,Sunflower seeds,524,0.376,530
1,1.3,E17,83,Wheat straw,515,0.4818,343
1,1.3,E17,83,Wheat straw,517,0.4798,345.7
1,1.3,E17,83,Wheat straw,522,0.486,337.2
1,1.3,E18,57,Cellulose,1018,0.4031,348
1,1.3,E18,57,Cellulose,1019,0.4079,340.6
1,1.3,E18,57,Cellulose,1020,0.391,357.8
1,1.3,E18,57,Rabbit feed,1021,0.4216,326.3
1,1.3,E18,57,Rabbit feed,1022,0.4135,332.6
1,1.3,E18,57,Rabbit feed,1023,0.4135,334.3
1,1.3,E18,57,Sunflower seeds,1027,0.3164,507.7
1,1.3,E18,57,Sunflower seeds,1028,0.3146,504.1
1,1.3,E18,57,Sunflower seeds,1029,0.3136,521.1
1,1.3,E18,57,Wheat straw,1024,0.4678,270.9
1,1.3,E18,57,Wheat straw,1025,0.4627,270.5
1,1.3,E18,57,Wheat straw,1026,0.4581,270.5
1,1.3,E19,47,Cellulose,631,0.2,332.1
1,1.3,E19,47,Cellulose,632,0.1838,368.3
1,1.3,E19,47,Cellulose,633,0.1842,367.3
1,1.3,E19,47,Rabbit feed,625,0.2094,335.2
1,1.3,E19,47,Rabbit feed,626,0.1879,383.3
1,1.3,E19,47,Rabbit feed,627,0.1864,387.5
1,1.3,E19,47,Sunflower seeds,634,0.1381,537.4
1,1.3,E19,47,Sunflower seeds,635,0.1373,541
1,1.3,E19,47,Sunflower seeds,636,0.125,602.6
1,1.3,E19,47,Wheat straw,637,0.2244,305.5
1,1.3,E19,47,Wheat straw,638,0.2148,322.9
1,1.3,E19,47,Wheat straw,639,0.2164,319.9
1,1.3,E20,102,Cellulose,262,0.06835,312.2
1,1.3,E20,102,Cellulose,263,0.06475,330.8
1,1.3,E20,102,Cellulose,264,0.06288,341.3
1,1.3,E20,102,Rabbit feed,259,0.06777,314.8
1,1.3,E20,102,Rabbit feed,260,0.07151,297.1
1,1.3,E20,102,Rabbit feed,261,0.06866,310.4
1,1.3,E20,102,Sunflower seeds,268,0.0475,458.1
1,1.3,E20,102,Sunflower seeds,269,0.04815,451.5
1,1.3,E20,102,Sunflower seeds,270,0.04834,449.7
1,1.3,E20,102,Wheat straw,271,0.08238,254.8
1,1.3,E20,102,Wheat straw,272,0.08156,257.6
1,1.3,E20,102,Wheat straw,273,0.08216,255.6
1,1.3,E21,45,Cellulose,322,0.103,332.6
1,1.3,E21,45,Cellulose,323,0.1008,338.4
1,1.3,E21,45,Cellulose,324,0.102,333.1
1,1.3,E21,45,Rabbit feed,316,0.1131,333.1
1,1.3,E21,45,Rabbit feed,317,0.1134,327.3
1,1.3,E21,45,Rabbit feed,318,0.1129,331.5
1,1.3,E21,45,Sunflower seeds,325,0.07558,481.5
1,1.3,E21,45,Sunflower seeds,326,0.07565,484
1,1.3,E21,45,Sunflower seeds,327,0.07621,477.6
1,1.3,E21,45,Wheat straw,328,0.1527,222.7
1,1.3,E21,45,Wheat straw,329,0.1449,234.4
1,1.3,E21,45,Wheat straw,330,0.1466,229.9
1,1.3,E22,56,Cellulose,728,0.1507,386.9
1,1.3,E22,56,Cellulose,729,0.1439,409
1,1.3,E22,56,Cellulose,730,0.1434,409.4
1,1.3,E22,56,Rabbit feed,731,0.1568,370.5
1,1.3,E22,56,Rabbit feed,732,0.166,345.9
1,1.3,E22,56,Rabbit feed,741,0.1728,329.8
1,1.3,E22,56,Sunflower seeds,735,0.1265,455.3
1,1.3,E22,56,Sunflower seeds,736,0.1399,405.5
1,1.3,E22,56,Sunflower seeds,737,0.1667,329.5
1,1.3,E22,56,Wheat straw,727,0.7895,182.6
1,1.3,E22,56,Wheat straw,733,0.2937,161.7
1,1.3,E22,56,Wheat straw,734,0.3297,136.6
1,1.3,E23,122,Cellulose,424,0.2863,370.4
1,1.3,E23,122,Cellulose,425,0.2963,348.4
1,1.3,E23,122,Cellulose,426,0.2904,352.2
1,1.3,E23,122,Rabbit feed,419,0.3168,308.6
1,1.3,E23,122,Rabbit feed,420,0.3241,302.6
1,1.3,E23,122,Sunflower seeds,427,0.2484,460.9
1,1.3,E23,122,Sunflower seeds,428,0.2371,487
1,1.3,E23,122,Sunflower seeds,429,0.2436,470.3
1,1.3,E23,122,Wheat straw,430,0.3404,284.1
1,1.3,E23,122,Wheat straw,431,0.3506,270.4
1,1.3,E23,122,Wheat straw,432,0.352,271.8
1,1.3,E24,41,Cellulose,472,0.2247,552.3
1,1.3,E24,41,Cellulose,473,0.2197,565.1
1,1.3,E24,41,Cellulose,474,0.2193,528.6
1,1.3,E24,41,Rabbit feed,475,0.1951,663.6
1,1.3,E24,41,Rabbit feed,476,0.308,319.2
1,1.3,E24,41,Rabbit feed,477,0.2058,621
1,1.3,E24,41,Sunflower seeds,467,0.1752,739.9
1,1.3,E24,41,Sunflower seeds,468,0.2041,613.2
1,1.3,E24,41,Sunflower seeds,469,0.1636,803.6
1,1.3,E24,41,Wheat straw,464,0.2498,484.8
1,1.3,E24,41,Wheat straw,465,0.2287,544.2
1,1.3,E24,41,Wheat straw,466,0.2452,496.8
1,1.3,E26,49,Cellulose,1423,0.05172,198.8
1,1.3,E26,49,Cellulose,1424,0.04564,226.7
1,1.3,E26,49,Cellulose,1425,0.04516,229.2
1,1.3,E26,49,Rabbit feed,1426,0.05172,214.3
1,1.3,E26,49,Rabbit feed,1427,0.04804,231.6
1,1.3,E26,49,Rabbit feed,1428,0.04804,231.6
1,1.3,E26,49,Sunflower seeds,1418,0.03393,323
1,1.3,E26,49,Sunflower seeds,1419,0.03393,323
1,1.3,E26,49,Sunflower seeds,1420,0.03707,294.7
1,1.3,E26,49,Wheat straw,1415,0.04318,254.8
1,1.3,E26,49,Wheat straw,1416,0.05435,200.1
1,1.3,E26,49,Wheat straw,1417,0.0484,226.1
1,1.3,E27,82,Cellulose,1709,0.1916,366.5
1,1.3,E27,82,Cellulose,1710,0.1899,370.9
1,1.3,E27,82,Cellulose,1711,0.1936,361.7
1,1.3,E27,82,Rabbit feed,1704,0.2096,356.9
1,1.3,E27,82,Rabbit feed,1705,0.2129,320.4
1,1.3,E27,82,Rabbit feed,1706,0.2146,317.8
1,1.3,E27,82,Sunflower seeds,1713,0.1736,428.2
1,1.3,E27,82,Sunflower seeds,1715,0.1778,417
1,1.3,E27,82,Sunflower seeds,1717,0.1767,419.1
1,1.3,E27,82,Wheat straw,1712,0.256,252.3
1,1.3,E27,82,Wheat straw,1714,0.2613,246.1
1,1.3,E27,82,Wheat straw,1716,0.2655,240.1
1,1.3,R01,19,Cellulose,1474,0.2452,386.3
1,1.3,R01,19,Cellulose,1476,0.2421,403.9
1,1.3,R01,19,Cellulose,1479,0.2435,392.5
1,1.3,R01,19,Cellulose,1482,0.25,379.2
1,1.3,R01,19,Cellulose,1485,0.2348,392.5
1,1.3,R01,19,Cellulose,1490,0.2111,392.5
1,1.3,R01,28,Cellulose,1464,0.2378,416.6
1,1.3,R01,28,Cellulose,1468,0.2245,428.8
1,1.3,R01,28,Cellulose,1473,0.2438,409.4
1,1.3,R01,28,Rabbit feed,1463,0.254,384.8
1,1.3,R01,28,Rabbit feed,1467,0.2713,343.6
1,1.3,R01,28,Rabbit feed,1472,0.2445,394.7
1,1.3,R01,28,Sunflower seeds,1459,0.1811,560.2
1,1.3,R01,28,Sunflower seeds,1461,0.1776,555.1
1,1.3,R01,28,Sunflower seeds,1470,0.183,551.1
1,1.3,R01,19,Wheat straw,1477,0.3463,332.6
1,1.3,R01,19,Wheat straw,1480,0.2591,332.8
1,1.3,R01,19,Wheat straw,1483,0.2663,320.7
1,1.3,R01,19,Wheat straw,1486,0.2583,332.9
1,1.3,R01,19,Wheat straw,1488,0.2606,336.6
1,1.3,R01,19,Wheat straw,1491,0.2605,330
1,1.3,R01,28,Wheat straw,1462,0.2997,312.1
1,1.3,R01,28,Wheat straw,1466,0.2895,325.8
1,1.3,R01,28,Wheat straw,1471,0.3097,295.6
1,1.3,R02,117,Cellulose,205,0.3247,383.1
1,1.3,R02,117,Cellulose,206,0.2954,392
1,1.3,R02,117,Cellulose,207,0.315,392.5
1,1.3,R02,117,Rabbit feed,202,0.3218,340.5
1,1.3,R02,117,Rabbit feed,203,0.3289,352.5
1,1.3,R02,117,Rabbit feed,204,0.3188,358.9
1,1.3,R02,117,Sunflower seeds,211,0.2463,558.7
1,1.3,R02,117,Sunflower seeds,212,0.2168,579
1,1.3,R02,117,Sunflower seeds,213,0.243,558.6
1,1.3,R02,117,Wheat straw,214,0.3802,300.3
1,1.3,R02,117,Wheat straw,215,0.3916,285.2
1,1.3,R02,117,Wheat straw,216,0.3851,292
1,1.3,R03,11,Cellulose,1560,0.3939,370.3
1,1.3,R03,11,Cellulose,1561,0.4148,337.6
1,1.3,R03,11,Cellulose,1562,0.4079,347.9
1,1.3,R03,11,Cellulose,1563,0.3963,364.2
1,1.3,R03,11,Rabbit feed,1556,0.4218,331
1,1.3,R03,11,Rabbit feed,1557,0.4164,336.6
1,1.3,R03,11,Rabbit feed,1558,0.4121,343.7
1,1.3,R03,11,Rabbit feed,1559,0.4136,341.1
1,1.3,R03,11,Sunflower seeds,1568,0.3118,528.3
1,1.3,R03,11,Sunflower seeds,1569,0.3113,529.3
1,1.3,R03,11,Sunflower seeds,1570,0.3046,547.7
1,1.3,R03,11,Sunflower seeds,1571,0.3113,530.7
1,1.3,R03,11,Wheat straw,1572,0.47,270.9
1,1.3,R03,11,Wheat straw,1573,0.4655,274.6
1,1.3,R03,11,Wheat straw,1574,0.4815,259
1,1.3,R03,11,Wheat straw,1575,0.4652,276.6
1,1.3,R04,59,Cellulose,94,0.2524,345.8
1,1.3,R04,59,Cellulose,95,0.2567,346.1
1,1.3,R04,59,Cellulose,96,0.2598,341.2
1,1.3,R04,59,Rabbit feed,88,0.268,332.6
1,1.3,R04,59,Rabbit feed,89,0.2695,330.3
1,1.3,R04,59,Rabbit feed,90,0.264,340.6
1,1.3,R04,59,Sunflower seeds,97,0.2043,463.7
1,1.3,R04,59,Sunflower seeds,98,0.1942,493.5
1,1.3,R04,59,Sunflower seeds,99,0.1984,493.5
1,1.3,R04,59,Wheat straw,100,0.3035,280.1
1,1.3,R04,59,Wheat straw,101,0.311,269.5
1,1.3,R04,59,Wheat straw,102,0.3118,270.1
1,1.3,R05,16,Cellulose,370,0.3298,384.2
1,1.3,R05,16,Cellulose,371,0.3421,363.5
1,1.3,R05,16,Cellulose,372,0.3396,367.6
1,1.3,R05,16,Rabbit feed,373,0.3455,357.7
1,1.3,R05,16,Rabbit feed,374,0.3481,354.5
1,1.3,R05,16,Rabbit feed,375,0.3378,371.2
1,1.3,R05,16,Sunflower seeds,365,0.2672,518.8
1,1.3,R05,16,Sunflower seeds,366,0.2627,530.9
1,1.3,R05,16,Sunflower seeds,367,0.2688,514.7
1,1.3,R05,16,Wheat straw,362,0.3538,345.3
1,1.3,R05,16,Wheat straw,363,0.3375,371.1
1,1.3,R05,16,Wheat straw,364,0.3515,348.8
1,1.3,R06,109,Cellulose,784,0.2276,365
1,1.3,R06,109,Cellulose,785,0.2289,370.8
1,1.3,R06,109,Cellulose,786,0.2393,360.1
1,1.3,R06,109,Rabbit feed,780,0.2379,368.9
1,1.3,R06,109,Rabbit feed,781,0.2347,371.2
1,1.3,R06,109,Rabbit feed,782,0.2387,358.2
1,1.3,R06,109,Sunflower seeds,787,0.1811,527.3
1,1.3,R06,109,Sunflower seeds,788,0.1869,505.7
1,1.3,R06,109,Sunflower seeds,789,0.1854,499.3
1,1.3,R06,109,Wheat straw,790,0.2735,319
1,1.3,R06,109,Wheat straw,791,0.2864,300.3
1,1.3,R06,109,Wheat straw,792,0.2601,332.4
2,2.1,E02,15,Bird feed,923,0.09355,383.8
2,2.1,E02,15,Bird feed,924,0.09041,398.5
2,2.1,E02,39,Bird feed,911,0.1179,296.3
2,2.1,E02,39,Bird feed,912,0.09355,383.8
2,2.1,E02,39,Bird feed,913,0.09041,398.5
2,2.1,E02,15,Cellulose,920,0.09581,372.9
2,2.1,E02,15,Cellulose,921,0.1071,329.5
2,2.1,E02,15,Cellulose,922,0.09278,386.4
2,2.1,E02,39,Cellulose,908,0.09581,372.9
2,2.1,E02,39,Cellulose,909,0.1071,329.5
2,2.1,E02,39,Cellulose,910,0.09278,386.4
2,2.1,E02,15,Whey,925,0.09979,356.8
2,2.1,E02,15,Whey,926,0.09698,368.3
2,2.1,E02,15,Whey,927,0.09498,376.9
2,2.1,E02,39,Whey,914,0.09979,356.8
2,2.1,E02,39,Whey,915,0.09698,368.3
2,2.1,E02,39,Whey,916,0.09498,376.9
2,2.1,E03,77,Bird feed,1378,0.4786,329.8
2,2.1,E03,77,Bird feed,1379,0.4693,342.5
2,2.1,E03,77,Bird feed,1380,0.477,332
2,2.1,E03,77,Cellulose,1381,0.4989,279.3
2,2.1,E03,77,Cellulose,1382,0.527,249.6
2,2.1,E03,77,Cellulose,1383,0.4994,278.7
2,2.1,E03,77,Whey,1372,0.4299,379.5
2,2.1,E03,77,Whey,1376,0.4145,404.1
2,2.1,E03,77,Whey,1377,0.4263,385.1
2,2.1,E04,96,Bird feed,589,0.2588,347.2
2,2.1,E04,96,Bird feed,590,0.265,343.1
2,2.1,E04,96,Bird feed,591,0.242,377.8
2,2.1,E04,96,Cellulose,586,0.2236,388.3
2,2.1,E04,96,Cellulose,587,0.2502,348.2
2,2.1,E04,96,Cellulose,588,0.2339,357.1
2,2.1,E04,96,Whey,592,0.2273,366.2
2,2.1,E04,96,Whey,593,0.2329,368.1
2,2.1,E04,96,Whey,594,0.2297,379.1
2,2.1,E06,114,Bird feed,982,0.01938,387.2
2,2.1,E06,114,Bird feed,983,0.01987,376.9
2,2.1,E06,114,Bird feed,984,0.01962,381
2,2.1,E06,114,Cellulose,979,0.02132,354.8
2,2.1,E06,114,Cellulose,980,0.02149,347.5
2,2.1,E06,114,Cellulose,981,0.0211,348.1
2,2.1,E06,114,Whey,974,0.01664,438.1
2,2.1,E06,114,Whey,975,0.0162,449.1
2,2.1,E06,114,Whey,976,0.01688,433.9
2,2.1,E07,99,Bird feed,160,0.06901,374.7
2,2.1,E07,99,Bird feed,161,0.06937,373.3
2,2.1,E07,99,Bird feed,162,0.06887,374.2
2,2.1,E07,99,Cellulose,163,0.09354,362
2,2.1,E07,99,Cellulose,164,0.09548,353.4
2,2.1,E07,99,Cellulose,165,0.09625,358.1
2,2.1,E07,99,Whey,169,0.06706,464.1
2,2.1,E07,99,Whey,170,0.0672,465
2,2.1,E07,99,Whey,171,0.06395,472.1
2,2.1,E08,54,Bird feed,1108,0.1542,404.6
2,2.1,E08,54,Bird feed,1109,0.1468,428.6
2,2.1,E08,54,Bird feed,1110,0.1526,409.6
2,2.1,E08,54,Cellulose,1105,0.1453,433.5
2,2.1,E08,54,Cellulose,1106,0.1462,430.6
2,2.1,E08,54,Cellulose,1107,0.1471,427.4
2,2.1,E08,54,Whey,1100,0.1584,391.9
2,2.1,E08,54,Whey,1101,0.1568,396.4
2,2.1,E08,54,Whey,1102,0.1587,391
2,2.1,E09,23,Bird feed,55,0.04533,387.7
2,2.1,E09,23,Bird feed,56,0.04697,388.1
2,2.1,E09,23,Bird feed,57,0.04614,395
2,2.1,E09,23,Cellulose,52,0.05759,375.7
2,2.1,E09,23,Cellulose,53,0.05777,364.5
2,2.1,E09,23,Cellulose,54,0.05373,404.3
2,2.1,E09,23,Whey,47,0.04157,524.5
2,2.1,E09,23,Whey,48,0.04078,517.7
2,2.1,E09,23,Whey,49,0.03949,544.4
2,2.1,E10,44,Bird feed,1213,0.2704,332.4
2,2.1,E10,44,Bird feed,1214,0.2648,336.5
2,2.1,E10,44,Bird feed,1215,0.2694,334.3
2,2.1,E10,44,Cellulose,1219,0.2923,304.4
2,2.1,E10,44,Cellulose,1220,0.2823,317.3
2,2.1,E10,44,Cellulose,1221,0.292,302.1
2,2.1,E10,44,Whey,1222,0.2145,453.1
2,2.1,E10,44,Whey,1223,0.2194,441
2,2.1,E10,44,Whey,1224,0.2195,435.6
2,2.1,E12,106,Bird feed,1321,0.1351,362.6
2,2.1,E12,106,Bird feed,1322,0.1377,355.1
2,2.1,E12,106,Bird feed,1323,0.1351,362.8
2,2.1,E12,106,Cellulose,1315,0.1436,337.5
2,2.1,E12,106,Cellulose,1319,0.1436,337.4
2,2.1,E12,106,Cellulose,1320,0.1456,332.4
2,2.1,E12,106,Whey,1324,0.1161,430.7
2,2.1,E12,106,Whey,1325,0.1157,431.7
2,2.1,E12,106,Whey,1326,0.1171,426.6
2,2.1,E13,80,Bird feed,1162,0.1622,358.2
2,2.1,E13,80,Bird feed,1163,0.1753,326.6
2,2.1,E13,80,Bird feed,1164,0.1725,331.9
2,2.1,E13,80,Cellulose,1159,0.1577,370.1
