test,set,lab_id,file_id,bottle_id,time_d,xCH4,cvBg,cvCH4
1,1.3,E01,64,1661,0,1,0,0
1,1.3,E01,64,1661,1,1,14.48,14.48
1,1.3,E01,64,1661,2,1,16.11,16.11
1,1.3,E01,64,1661,3,1,17.73,17.73
1,1.3,E01,64,1661,4,1,19.36,19.36
1,1.3,E01,64,1661,5,1,20.99,20.99
1,1.3,E01,64,1661,6,1,22.62,22.62
1,1.3,E01,64,1661,7,1,24.24,24.24
1,1.3,E01,64,1661,8,1,25.83,25.83
1,1.3,E01,64,1661,9,1,26.81,26.81
1,1.3,E01,64,1661,10,1,27.79,27.79
1,1.3,E01,64,1661,11,1,28.76,28.76
1,1.3,E01,64,1661,12,1,29.74,29.74
1,1.3,E01,64,1661,13,1,30.72,30.72
1,1.3,E01,64,1661,14,1,31.7,31.7
1,1.3,E01,64,1661,15,1,32.68,32.68
1,1.3,E01,64,1661,16,1,33.66,33.66
1,1.3,E01,64,1661,17,1,34.64,34.64
1,1.3,E01,64,1661,18,1,35.62,35.62
1,1.3,E01,64,1661,19,1,36.6,36.6
1,1.3,E01,64,1661,20,1,36.6,36.6
1,1.3,E01,64,1661,21,1,36.6,36.6
1,1.3,E01,64,1662,0,1,0,0
1,1.3,E01,64,1662,1,1,38.75,38.75
1,1.3,E01,64,1662,2,1,68.17,68.17
1,1.3,E01,64,1662,3,1,103.1,103.1
1,1.3,E01,64,1662,4,1,115.9,115.9
1,1.3,E01,64,1662,5,1,128.8,128.8
1,1.3,E01,64,1662,6,1,153.1,153.1
1,1.3,E01,64,1662,7,1,187.1,187.1
1,1.3,E01,64,1662,8,1,223,223
1,1.3,E01,64,1662,9,1,269.1,269.1
1,1.3,E01,64,1662,10,1,348.1,348.1
1,1.3,E01,64,1662,11,1,445.4,445.4
1,1.3,E01,64,1662,12,1,534.8,534.8
1,1.3,E01,64,1662,13,1,610.5,610.5
1,1.3,E01,64,1662,14,1,679.8,679.8
1,1.3,E01,64,1662,15,1,730.5,730.5
1,1.3,E01,64,1662,16,1,754.1,754.1
1,1.3,E01,64,1662,17,1,771.2,771.2
1,1.3,E01,64,1662,18,1,783.8,783.8
1,1.3,E01,64,1662,19,1,789,789
1,1.3,E01,64,1662,20,1,793.8,793.8
1,1.3,E01,64,1662,21,1,793.8,793.8
1,1.3,E01,64,1663,0,1,0,0
1,1.3,E01,64,1663,1,1,41.52,41.52
