test,set,lab_id,file_id,substrate,bottle_id,mass_inoc,mass_sub,c_vs_sub_m,c_vs_sub_f,c_vs_inoc,ISR
1,1.3,E03,98,Rabbit feed,1370,395,4.15,0.8022,0.803,0.01688,2
1,1.3,E03,98,Rabbit feed,1371,395,4.15,0.8022,0.803,0.01688,2
1,1.3,E03,98,Sunflower seeds,1361,395,3.68,0.905,0.915,0.01688,1.98
1,1.3,E03,98,Sunflower seeds,1362,395,3.68,0.905,0.915,0.01688,1.98
1,1.3,E03,98,Sunflower seeds,1363,395,3.68,0.905,0.915,0.01688,1.98
1,1.3,E03,98,Wheat straw,1358,395,3.81,0.8748,0.872,0.01688,2.007
1,1.3,E03,98,Wheat straw,1359,395,3.81,0.8748,0.872,0.01688,2.007
1,1.3,E03,98,Wheat straw,1360,395,3.81,0.8748,0.872,0.01688,2.007
1,1.3,E04,62,Blank,567,200,0,,,0.077,
1,1.3,E04,62,Blank,568,205.1,0,,,0.077,
1,1.3,E04,62,Blank,574,200.6,0,,,0.077,
1,1.3,E04,62,Blank,575,205.4,0,,,0.077,
1,1.3,E04,62,Cellulose,569,200.2,7.81,0.9883,0.989,0.077,1.996
1,1.3,E04,62,Cellulose,576,204.4,7.97,0.9883,0.989,0.077,1.997
1,1.3,E04,62,Cellulose,577,201.7,7.86,0.9883,0.989,0.077,1.998
1,1.3,E04,62,Rabbit feed,570,202.7,9.6,0.8097,0.803,0.077,2.024
1,1.3,E04,62,Rabbit feed,578,200.6,9.52,0.8097,0.803,0.077,2.021
1,1.3,E04,62,Rabbit feed,579,208.7,9.9,0.8097,0.803,0.077,2.022
1,1.3,E04,62,Sunflower seeds,573,200,8.67,0.92,0.915,0.077,1.942
1,1.3,E04,62,Sunflower seeds,581,201.4,8.53,0.92,0.915,0.077,1.986
1,1.3,E04,62,Sunflower seeds,582,201.7,8.44,0.92,0.915,0.077,2.011
1,1.3,E04,62,Wheat straw,571,202.8,8.84,0.8813,0.872,0.077,2.025
1,1.3,E04,62,Wheat straw,572,209.3,9.11,0.8813,0.872,0.077,2.029
1,1.3,E04,62,Wheat straw,580,204.5,8.91,0.8813,0.872,0.077,2.027
1,1.3,E06,31,Blank,958,400.3,,,,0.02125,
1,1.3,E06,31,Blank,965,404.2,,,,0.02125,
1,1.3,E06,31,Blank,966,402.8,,,,0.02125,
1,1.3,E06,31,Cellulose,967,391.1,7.34,0.9907,0.989,0.02125,1.145
1,1.3,E06,31,Cellulose,968,392.4,7.04,0.9907,0.989,0.02125,1.198
1,1.3,E06,31,Cellulose,969,392.1,7.84,0.9907,0.989,0.02125,1.075
1,1.3,E06,31,Rabbit feed,970,390.3,10.17,0.8175,0.803,0.02125,1.016
1,1.3,E06,31,Rabbit feed,971,390.1,10.01,0.8175,0.803,0.02125,1.031
1,1.3,E06,31,Rabbit feed,972,389.8,10.1,0.8175,0.803,0.02125,1.021
1,1.3,E06,31,Sunflower seeds,962,390.8,9.25,0.8937,0.915,0.02125,0.9814
1,1.3,E06,31,Sunflower seeds,963,393.2,9.7,0.8937,0.915,0.02125,0.9415
1,1.3,E06,31,Sunflower seeds,964,392.8,10.33,0.8937,0.915,0.02125,0.8832
1,1.3,E06,31,Wheat straw,959,389.9,9.57,0.8753,0.872,0.02125,0.9929
1,1.3,E06,31,Wheat straw,960,391.1,9.76,0.8753,0.872,0.02125,0.9766
1,1.3,E06,31,Wheat straw,961,391.1,9.36,0.8753,0.872,0.02125,1.018
1,1.3,E07,34,Blank,151,501,,,,0.01212,
1,1.3,E07,34,Blank,152,490,,,,0.01212,
1,1.3,E07,34,Blank,153,495,,,,0.01212,
1,1.3,E07,34,Cellulose,148,491,1.444,0.982,0.989,0.01212,4.169
1,1.3,E07,34,Cellulose,149,491,1.523,0.982,0.989,0.01212,3.952
1,1.3,E07,34,Cellulose,150,491,1.464,0.982,0.989,0.01212,4.112
1,1.3,E07,34,Rabbit feed,145,493,2.117,0.8001,0.803,0.01212,3.516
1,1.3,E07,34,Rabbit feed,146,520,2.214,0.8001,0.803,0.01212,3.546
1,1.3,E07,34,Rabbit feed,147,492,2.251,0.8001,0.803,0.01212,3.3
1,1.3,E07,34,Sunflower seeds,154,492,2.211,0.9069,0.915,0.01212,2.949
1,1.3,E07,34,Sunflower seeds,155,503,2.317,0.9069,0.915,0.01212,2.877
1,1.3,E07,34,Sunflower seeds,156,497,2.462,0.9069,0.915,0.01212,2.675
1,1.3,E07,34,Wheat straw,157,494,3.372,0.8739,0.872,0.01212,2.037
1,1.3,E07,34,Wheat straw,158,497,3.213,0.8739,0.872,0.01212,2.151
1,1.3,E07,34,Wheat straw,159,505,3.242,0.8739,0.872,0.01212,2.166
1,1.3,E08,65,Blank,1084,400,0,,,0.04659,
1,1.3,E08,65,Blank,1091,400.1,0,,,0.04659,
1,1.3,E08,65,Blank,1092,400,0,,,0.04659,
1,1.3,E08,65,Cellulose,1093,391,9.1,0.9745,0.989,0.04659,2.024
1,1.3,E08,65,Cellulose,1094,390.8,9.11,0.9745,0.989,0.04659,2.021
1,1.3,E08,65,Cellulose,1095,390.7,9.11,0.9745,0.989,0.04659,2.021
1,1.3,E08,65,Rabbit feed,1096,388.9,11.2,0.8108,0.803,0.04659,2.015
1,1.3,E08,65,Rabbit feed,1097,388.9,11.22,0.8108,0.803,0.04659,2.011
1,1.3,E08,65,Rabbit feed,1098,388.9,11.2,0.8108,0.803,0.04659,2.015
1,1.3,E08,65,Sunflower seeds,1085,390,10,0.9087,0.915,0.04659,1.986
1,1.3,E08,65,Sunflower seeds,1086,390,10,0.9087,0.915,0.04659,1.986
1,1.3,E08,65,Sunflower seeds,1087,390,10.01,0.9087,0.915,0.04659,1.984
1,1.3,E08,65,Wheat straw,1088,389.8,10.2,0.8911,0.872,0.04659,2.042
1,1.3,E08,65,Wheat straw,1089,389.8,10.2,0.8911,0.872,0.04659,2.042
1,1.3,E08,65,Wheat straw,1090,389.8,10.19,0.8911,0.872,0.04659,2.044
1,1.3,E09,60,Blank,31,1600,0,,,0.01696,
1,1.3,E09,60,Blank,38,1601,0,,,0.01696,
1,1.3,E09,60,Blank,39,1600,0,,,0.01696,
1,1.3,E09,60,Cellulose,40,1602,13.3,0.9893,0.989,0.01696,2.066
1,1.3,E09,60,Cellulose,41,1600,13.2,0.9893,0.989,0.01696,2.078
1,1.3,E09,60,Cellulose,42,1601,13.1,0.9893,0.989,0.01696,2.096
1,1.3,E09,60,Rabbit feed,32,1600,16,0.804,0.803,0.01696,2.112
1,1.3,E09,60,Rabbit feed,33,1600,16,0.804,0.803,0.01696,2.112
1,1.3,E09,60,Rabbit feed,34,1601,16.3,0.804,0.803,0.01696,2.074
1,1.3,E09,60,Sunflower seeds,43,1604,14.1,0.9172,0.915,0.01696,2.108
1,1.3,E09,60,Sunflower seeds,44,1600,14,0.9172,0.915,0.01696,2.119
1,1.3,E09,60,Sunflower seeds,45,1600,14,0.9172,0.915,0.01696,2.118
1,1.3,E09,60,Wheat straw,35,1602,14.8,0.8761,0.872,0.01696,2.104
1,1.3,E09,60,Wheat straw,36,1601,14.6,0.8761,0.872,0.01696,2.132
1,1.3,E09,60,Wheat straw,37,1602,14.5,0.8761,0.872,0.01696,2.149
1,1.3,E10,104,Blank,1201,115.7,0,,,0.0346,
1,1.3,E10,104,Blank,1202,115.7,0,,,0.0346,
1,1.3,E10,104,Blank,1203,115.6,0,,,0.0346,
1,1.3,E10,104,Cellulose,1204,115.8,2,0.991,0.989,0.0346,2.026
1,1.3,E10,104,Cellulose,1205,115.7,2.01,0.991,0.989,0.0346,2.014
1,1.3,E10,104,Cellulose,1206,115.7,2.01,0.991,0.989,0.0346,2.014
1,1.3,E10,104,Rabbit feed,1198,115.7,2.47,0.8098,0.803,0.0346,2.018
1,1.3,E10,104,Rabbit feed,1199,115.8,2.53,0.8098,0.803,0.0346,1.972
1,1.3,E10,104,Rabbit feed,1200,115.6,2.48,0.8098,0.803,0.0346,2.009
